,Heartbreak Hotel,Elvis Presley,1956
,Somebody That I Used to Know,Gotye featuring Kimbra,2012
*,Macarena,Los Del Rio,1996
,I Want to Hold Your Hand,The Beatles,1964
,Let It Be,The Beatles,1970
,Boom Boom Pow,The Black Eyed Peas,2009
,My Sharona,The Knack,1979
